Stadtteil;Anzahl der Einwohner:innen;Anzahl der Kinder und Jugendlichen unter 18 Jahren;Anzahl älterer Einwohner:innen über 64 Jahren;Anzahl ausländischer Einwohner:innen;Anzahl der Einwohner:innen mit Migrations-hintergrund;Anzahl der Haushalte;Durchschnittliche Anzahl der Personen je Haushalt;Anzahl der Haushalte mit Kindern;Sozial-versicherungs-pflichtig Beschäftigte am Wohnort;Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort an den Erwerbsfähigen (15 bis unter 65-Jährige);Anzahl der Arbeitslosen;Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-Jährige);Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren;Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den älteren Erwerbsfähigen (55 bis unter 65-Jährige);Anzahl der Leistungs-empfänger:innen nach SGB II;Anteil der Leistungs-empfänger:innen nach SGB II an der Gesamt-bevölkerung;;
Hoheluft-West; 13 323    ; 1 634    ; 1 869    ; 1 496    ; 3 005    ; 8 799    ; 1,5    ; 1 147    ; 6 744    ; 67,3    ;  339    ; 3,4    ;  69    ; 4,7    ;  352    ; 2,6    ;;
Lokstedt; 30 678    ; 5 283    ; 5 883    ; 4 798    ; 9 835    ; 16 343    ; 1,8    ; 3 161    ; 12 822    ; 63,6    ;  870    ; 4,3    ;  185    ; 5,3    ; 1 826    ; 6,0    ;;
Niendorf; 41 205    ; 6 545    ; 10 592    ; 4 216    ; 9 751    ; 22 155    ; 1,9    ; 4 076    ; 16 196    ; 64,6    ;  859    ; 3,4    ;  240    ; 4,0    ; 1 416    ; 3,4    ;;
Schnelsen; 30 122    ; 5 780    ; 6 096    ; 4 624    ; 10 509    ; 14 559    ; 2,0    ; 3 332    ; 12 035    ; 62,8    ; 1 077    ; 5,6    ;  224    ; 5,3    ; 2 840    ; 9,4    ;;
Eidelstedt; 35 686    ; 6 526    ; 7 168    ; 7 535    ; 15 206    ; 18 230    ; 1,9    ; 3 818    ; 14 112    ; 61,7    ; 1 592    ; 7,0    ;  286    ; 6,4    ; 4 474    ; 12,5    ;;
Stellingen; 26 955    ; 4 101    ; 4 929    ; 5 386    ; 9 837    ; 14 997    ; 1,7    ; 2 430    ; 11 738    ; 63,6    ; 1 033    ; 5,6    ;  220    ; 6,9    ; 2 111    ; 7,8    ;;
Hoheluft-Ost; 9 722    ; 1 229    ; 1 634    ; 1 003    ; 2 263    ; 6 303    ; 1,6    ;  863    ; 4 590    ; 65,5    ;  214    ; 3,1    ;  54    ; 4,4    ;  275    ; 2,8    ;;
Eppendorf; 24 538    ; 3 452    ; 4 577    ; 2 284    ; 5 327    ; 15 194    ; 1,6    ; 2 233    ; 11 050    ; 65,1    ;  416    ; 2,4    ;  109    ; 3,9    ;  474    ; 1,9    ;;
Groß Borstel; 10 224    ; 1 913    ; 1 850    ; 1 725    ; 3 135    ; 5 116    ; 1,9    ; 1 034    ; 3 943    ; 58,7    ;  324    ; 4,8    ;  71    ; 5,5    ;  695    ; 6,8    ;;
Alsterdorf; 14 975    ; 2 412    ; 2 917    ; 1 971    ; 4 216    ; 8 030    ; 1,8    ; 1 447    ; 6 043    ; 60,5    ;  334    ; 3,3    ;  85    ; 4,5    ;  873    ; 5,8    ;;
