how to ;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländer:innen;Bevölkerung mit Migrations-hintergrund;Haushalte;Personen je Haushalt;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Fläche in km²;Bevölkerungs-dichte;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2021);Beschäftigten-quote in % (Dez 2021);Arbeitslose (Dez 2021);Arbeitslosenanteil in % (Dez 2021);Jüngere Arbeitslose (Dez 2021);Arbeitslosenanteil Jüngerer in % (Dez 2021);Ältere Arbeitslose (Dez 2021);Arbeitslosenanteil Älterer in % (Dez 2021);Leistungs-empfänger:innen nach SGB II (Dez 2021);Anteil der Leistungs-empfänger:innen nach SGB II in % (Dez 2021);Sozialwohnungen (Jan 2022);Sozialwohnungs-anteil in % (Jan 2022)
Billbrook;1.664.00;545;32.8;88;5.3;1.262.00;1.416.00;347;1.5;31;8.9;6.3;265;623;56.2;195;17.6;20;7.7;23;18.3;880;52.9;0;0
Rothenburgsort;8.945.00;1.563.00;17.5;1.331.00;14.9;2.576.00;5.181.00;5.048.00;1.8;896;17.7;7.2;1.244.00;3.780.00;60.1;539;8.6;38;4;92;8.3;1.517.00;17;918;19.5
Veddel;4.263.00;847;19.9;401;9.4;1.981.00;3.228.00;2.276.00;1.9;481;21.1;4.4;975;1.800.00;56.7;333;10.5;33;5.4;30;8.3;1.021.00;24;530;26.2
Wilhelmsburg;52.683.00;10.874.00;20.6;7.152.00;13.6;16.892.00;32.229.00;25.857.00;2;5.897.00;22.8;35.4;1.489.00;20.428.00;56.1;3.456.00;9.5;267;4.1;572;9.1;9.778.00;18.6;4.979.00;21.7
Kleiner Grasbrook;1.071.00;.    ;.    ;.    ;.    ;323;471;863;1.3;40;4.6;11.9;90;.    ;.    ;.    ;.    ;.    ;.    ;.    ;.    ;156;14.6;0;0
Waltershof;11.570.00;1.916.00;16.6;2.341.00;20.2;2.195.00;3.828.00;6.253.00;1.9;1.138.00;18.2;29.4;393;4.838.00;63.8;428;5.6;31;2.8;89;4.7;1.136.00;9.8;575;9.9
Altona-Altstadt;29.151.00;4.433.00;15.2;3.818.00;13.1;5.731.00;11.423.00;17.975.00;1.6;2.854.00;15.9;2.7;10.726.00;12.878.00;59.8;1.632.00;7.6;76;2.9;348;9.3;3.388.00;11.6;2.037.00;12.3
Sternschanze;7.867.00;1.086.00;13.8;834;10.6;1.429.00;2.785.00;5.175.00;1.5;729;14.1;0.5;14.344.00;3.634.00;59.6;346;5.7;17;2.2;65;8.1;743;9.4;401;9.2
Altona-Nord;25.942.00;4.348.00;16.8;2.618.00;10.1;4.831.00;9.642.00;15.205.00;1.7;2.746.00;18.1;2.2;11.697.00;11.915.00;61.2;1.189.00;6.1;70;2.7;225;7.8;2.391.00;9.2;1.679.00;11.8
Ottensen;34.904.00;5.353.00;15.3;5.210.00;14.9;4.456.00;9.579.00;21.413.00;1.7;3.520.00;16.4;2.8;12.487.00;15.447.00;61.4;1.188.00;4.7;37;1.2;289;6.1;1.946.00;5.6;600;3
Bahrenfeld;29.435.00;5.036.00;17.1;3.932.00;13.4;5.703.00;10.144.00;16.477.00;1.7;2.883.00;17.5;10.5;2.792.00;13.264.00;62.6;1.246.00;5.9;57;2;251;6.8;2.651.00;9;425;2.9
Groß Flottbek;11.079.00;2.230.00;20.1;2.302.00;20.8;1.487.00;2.766.00;5.309.00;2.1;1.298.00;24.4;2.4;4.673.00;3.618.00;52;119;1.7;.    ;.    ;34;2.3;113;1;36;0.7
Othmarschen;16.365.00;3.399.00;20.8;3.325.00;20.3;2.310.00;4.638.00;7.549.00;2.1;1.927.00;25.5;5.9;2.752.00;5.554.00;55;253;2.5;.    ;.    ;48;2.5;585;3.6;340;4.4
Lurup;36.651.00;7.494.00;20.4;6.628.00;18.1;8.286.00;18.819.00;17.707.00;2;4.217.00;23.8;6.3;5.825.00;13.958.00;58.8;1.827.00;7.7;152;3.9;298;6;5.740.00;15.7;2.163.00;12.9
